Order ID,Customer ID,Order Date,Ship Date,Delivery Date,Ship Mode,Postal Code,Market,Order Priority,Deadline Date,Order Status
AG-2012-4750-LM-7065,['LM-7065'],2012-10-12,2012-11-16,2012-11-21,Standard Class,['02255787'],Africa,['Medium'],2012-11-21,Delivered
AG-2012-4910-KF-6285,['KF-6285'],2012-11-16,2012-11-22,2012-11-28,Standard Class,['023472'],Africa,['Medium'],2012-12-26,Delivered
AG-2012-5400-RB-9570,['RB-9570'],2012-05-01,2012-05-01,2012-05-05,Same Day,['023472'],Africa,['High'],2012-06-10,Delivered
AG-2012-6020-DC-3285,['DC-3285'],2012-08-20,2012-08-24,2012-08-26,Standard Class,['02990287'],Africa,['High'],2012-09-29,Delivered
AG-2012-6390-GH-4410,['GH-4410'],2012-11-26,2012-11-30,2012-12-03,Standard Class,['023472'],Africa,['Medium'],2013-01-05,Delivered
AG-2012-7530-AA-480,['AA-480'],2012-08-08,2012-08-14,2012-08-19,Standard Class,['02135333'],Africa,['Medium'],2012-09-17,Delivered
AG-2012-8490-LC-7050,['LC-7050'],2012-09-18,2012-09-23,2012-10-04,Standard Class,['02131320'],Africa,['Medium'],2012-10-28,Delivered
AG-2012-8660-MP-7470,['MP-7470'],2012-09-08,2012-10-09,2012-10-12,Standard Class,['0251121'],Africa,['Medium'],2012-10-18,Delivered
AG-2013-2580-KE-6420,['KE-6420'],2013-11-06,2013-11-12,2013-11-17,Standard Class,['027502373'],Africa,['Medium'],2013-12-16,Delivered
AG-2013-2690-CP-2085,['CP-2085'],2013-07-09,2013-08-11,2013-08-22,Second Class,['029923232'],Africa,['Critical'],2013-08-18,Delivered
AG-2013-2840-CS-1860,['CS-1860'],2013-05-21,2013-05-24,2013-05-27,First Class,['0228937'],Africa,['High'],2013-06-30,Delivered
AG-2013-2970-CM-2160,['CM-2160'],2013-04-26,2013-05-02,2013-05-06,Standard Class,['023472'],Africa,['Medium'],2013-06-05,Delivered
AG-2013-3970-RD-9585,['RD-9585'],2013-08-24,2013-08-28,2013-09-04,Standard Class,['02255787'],Africa,['Medium'],2013-10-03,Delivered
AG-2013-4150-DB-3270,['DB-3270'],2013-07-18,2013-07-21,2013-08-04,Second Class,['0251121'],Africa,['High'],2013-08-27,Delivered
AG-2013-5140-HF-4995,['HF-4995'],2013-08-03,2013-08-26,2013-09-03,First Class,['027502373'],Africa,['Medium'],2013-09-12,Delivered
AG-2013-5250-AG-765,['AG-765'],2013-02-04,2013-02-11,2013-02-19,Standard Class,['026692197'],Africa,['Medium'],2013-03-16,Delivered
AG-2013-5570-AH-75,['AH-75'],2013-01-05,2013-01-25,2013-01-26,First Class,['027502373'],Africa,['High'],2013-02-14,Delivered
AG-2013-5820-ES-4080,['ES-4080'],2013-05-11,2013-06-18,2013-06-27,First Class,['0251121'],Africa,['Medium'],2013-06-20,Delivered
AG-2013-6090-RD-9585,['RD-9585'],2013-03-14,2013-03-18,2013-03-25,Standard Class,['0251121'],Africa,['High'],2013-04-23,Delivered
AG-2013-640-BO-1425,['BO-1425'],2013-08-23,2013-08-27,2013-09-04,Second Class,['0228937'],Africa,['High'],2013-10-02,Delivered
AG-2013-6520-ML-7395,['ML-7395'],2013-04-02,2013-04-19,2013-04-22,Standard Class,['029163009'],Africa,['Medium'],2013-05-12,Delivered
AG-2013-6630-LW-7125,['LW-7125'],2013-10-12,2013-11-13,2013-11-16,First Class,['025471755'],Africa,['High'],2013-11-21,Delivered
AG-2013-6810-NF-8595,['NF-8595'],2013-10-07,2013-10-28,2013-11-01,Second Class,['023472'],Africa,['High'],2013-11-16,Delivered
AG-2013-7890-DJ-3510,['DJ-3510'],2013-08-26,2013-08-29,2013-09-05,Second Class,['023472'],Africa,['Medium'],2013-10-05,Delivered
AG-2013-8490-SK-9990,['SK-9990'],2013-08-30,2013-09-24,2013-09-29,Second Class,['023472'],Africa,['High'],2013-10-09,Delivered
AG-2013-8990-RB-9645,['RB-9645'],2013-12-09,2014-01-17,2014-01-21,First Class,['02131295'],Africa,['Critical'],2014-01-18,Delivered
AG-2013-9570-AR-345,['AR-345'],2013-04-02,2013-05-11,2013-05-15,Standard Class,['02255787'],Africa,['Medium'],2013-05-12,Delivered
AG-2013-9890-BT-1485,['BT-1485'],2013-09-30,2013-10-08,2013-10-14,Standard Class,['02131320'],Africa,['High'],2013-11-09,Delivered
AG-2014-2040-CR-2730,['CR-2730'],2014-01-01,2014-01-14,2014-01-20,Standard Class,['023472'],Africa,['High'],2014-02-10,Delivered
AG-2014-2110-TB-11250,['TB-11250'],2014-12-30,2015-01-20,2015-01-26,Second Class,['023472'],Africa,['Medium'],2015-02-08,Estimation Phase
AG-2014-2230-DK-3225,['DK-3225'],2014-10-27,,,Second Class,['023771271'],Africa,['Medium'],2014-12-06,Canceled
AG-2014-2280-MS-7980,['MS-7980'],2014-12-25,2015-01-01,2015-01-07,Standard Class,['023472'],Africa,['Medium'],2015-02-03,Estimation Phase
AG-2014-2360-JE-5475,['JE-5475'],2014-01-01,2014-01-22,2014-01-28,Standard Class,['026692197'],Africa,['High'],2014-02-10,Delivered
AG-2014-2600-DR-2940,['DR-2940'],2014-11-18,2014-11-20,2014-11-26,Second Class,['023472'],Africa,['Medium'],2014-12-28,Delivered
AG-2014-2760-CL-2565,['CL-2565'],2014-09-06,2014-09-29,2014-10-03,Standard Class,['028522778'],Africa,['High'],2014-10-16,Delivered
AG-2014-2830-MO-7800,['MO-7800'],2014-01-08,2014-01-25,2014-01-31,Second Class,['029062988'],Africa,['Medium'],2014-02-17,Delivered
AG-2014-3130-CC-2100,['CC-2100'],2014-01-11,2014-02-05,2014-02-13,Second Class,['027502373'],Africa,['Medium'],2014-02-20,Delivered
AG-2014-3510-CR-2820,['CR-2820'],2014-06-11,2014-07-11,2014-07-16,First Class,['02135333'],Africa,['High'],2014-07-21,Delivered
AG-2014-3710-IL-5100,['IL-5100'],2014-01-24,2014-01-29,2014-02-01,Second Class,['023472'],Africa,['Medium'],2014-03-05,Delivered
AG-2014-4280-RD-9660,['RD-9660'],2014-04-12,2014-05-19,2014-05-24,Standard Class,['027502373'],Africa,['Medium'],2014-05-22,Delivered
AG-2014-4290-RC-9960,['RC-9960'],2014-06-30,2014-07-08,2014-07-18,Standard Class,['027502373'],Africa,['High'],2014-08-09,Delivered
AG-2014-4590-AM-360,['AM-360'],2014-06-24,2014-06-24,2014-07-05,Same Day,['023472'],Africa,['Critical'],2014-08-03,Delivered
AG-2014-4720-RO-9780,['RO-9780'],2014-12-27,2014-12-31,2015-01-09,Standard Class,['027502373'],Africa,['Medium'],2015-02-05,Shipped
AG-2014-4840-CD-2790,['CD-2790'],2014-08-20,2014-08-25,2014-09-01,Standard Class,['027502373'],Africa,['High'],2014-09-29,Delivered
AG-2014-4880-RS-9420,['RS-9420'],2014-12-06,2014-12-20,2014-12-22,Second Class,['02255787'],Africa,['Medium'],2015-01-15,Delivered
AG-2014-5620-LD-6855,['LD-6855'],2014-08-14,2014-08-20,2014-08-27,Standard Class,['027502373'],Africa,['Medium'],2014-09-23,Delivered
AG-2014-6170-SL-10155,['SL-10155'],2014-05-20,2014-05-24,2014-05-29,Standard Class,['027502373'],Africa,['Medium'],2014-06-29,Delivered
AG-2014-6310-JG-5160,['JG-5160'],2014-01-24,2014-01-30,2014-02-03,Standard Class,['023472'],Africa,['Low'],2014-03-05,Delivered
AG-2014-6470-PO-8865,['PO-8865'],2014-01-13,2014-01-15,2014-01-21,First Class,['023771271'],Africa,['Critical'],2014-02-22,Delivered
AG-2014-6650-AC-420,['AC-420'],2014-02-03,2014-03-10,2014-03-14,Standard Class,['022892100'],Africa,['Medium'],2014-03-15,Delivered
AG-2014-7430-HR-4830,['HR-4830'],2014-05-08,2014-05-15,2014-05-20,Standard Class,['023771271'],Africa,['Medium'],2014-06-17,Delivered
AG-2014-7490-RD-9930,['RD-9930'],2014-07-23,2014-07-28,2014-07-30,Standard Class,['02289866'],Africa,['Medium'],2014-09-01,Delivered
AG-2014-7770-JO-5550,['JO-5550'],2014-07-03,2014-07-19,2014-07-20,Standard Class,['022892100'],Africa,['Medium'],2014-08-12,Delivered
AG-2014-8040-BD-1605,['BD-1605'],2014-03-31,2014-05-02,2014-05-07,Second Class,['026392074'],Africa,['High'],2014-05-10,Delivered
AG-2014-8240-AR-570,['AR-570'],2014-12-03,2014-12-27,2015-01-03,Standard Class,['026692197'],Africa,['High'],2015-01-12,Shipped
AG-2014-8390-CR-2820,['CR-2820'],2014-05-27,2014-05-30,2014-06-10,Second Class,['02255787'],Africa,['Critical'],2014-07-06,Delivered
AG-2014-8600-SB-10170,['SB-10170'],2014-01-22,2014-01-27,2014-02-05,Standard Class,['02131320'],Africa,['Medium'],2014-03-03,Delivered
AG-2014-8620-DS-3180,['DS-3180'],2014-11-02,2014-12-10,2014-12-16,Standard Class,['023472'],Africa,['Low'],2014-12-12,Delivered
AG-2014-8710-CA-2310,['CA-2310'],2014-01-29,2014-03-02,2014-03-07,Standard Class,['02131295'],Africa,['Medium'],2014-03-10,Delivered
AG-2014-8930-CC-2220,['CC-2220'],2014-12-09,2014-12-30,2015-01-04,Second Class,['027502373'],Africa,['Medium'],2015-01-18,Shipped
AG-2014-9060-YS-11880,['YS-11880'],2014-12-27,2015-01-01,2015-01-02,Standard Class,['023472'],Africa,['Medium'],2015-02-05,Estimation Phase
AG-2014-9240-JL-5835,['JL-5835'],2014-07-11,2014-08-03,2014-08-09,First Class,['027502373'],Africa,['High'],2014-08-20,Delivered
AG-2014-9430-DL-2865,['DL-2865'],2014-12-06,2014-12-12,2014-12-15,Standard Class,['029163009'],Africa,['Medium'],2015-01-15,Delivered
AJ-2011-4230-JH-5820,['JH-5820'],2011-12-30,2012-01-20,2012-02-08,Standard Class,['58110258'],EMEA,['Medium'],2012-02-08,Delivered
AJ-2011-4420-TC-10980,['TC-10980'],2011-08-06,2011-08-06,2011-08-15,Same Day,['58110258'],EMEA,['Critical'],2011-09-15,Delivered
AJ-2011-4460-CM-1935,['CM-1935'],2011-02-23,2011-02-23,2011-03-02,Same Day,['58110258'],EMEA,['Medium'],2011-04-04,Delivered
AJ-2011-7680-RP-9270,['RP-9270'],2011-09-14,2011-09-20,2011-09-23,Standard Class,['58110258'],EMEA,['Medium'],2011-10-24,Delivered
AJ-2012-7450-GM-4680,['GM-4680'],2012-09-25,2012-09-30,2012-10-04,Standard Class,['58110258'],EMEA,['Medium'],2012-11-04,Delivered
AJ-2012-7720-SG-10890,['SG-10890'],2012-02-11,2012-03-17,2012-03-26,First Class,['58110258'],EMEA,['High'],2012-03-22,Delivered
AJ-2013-1340-JR-5700,['JR-5700'],2013-02-06,2013-02-23,2013-02-26,Second Class,['58110258'],EMEA,['High'],2013-03-18,Delivered
AJ-2013-1760-CA-2310,['CA-2310'],2013-08-14,2013-08-14,2013-08-20,Same Day,['58110258'],EMEA,['Medium'],2013-09-23,Delivered
AJ-2013-180-NC-8340,['NC-8340'],2013-07-08,2013-07-15,2013-07-16,Second Class,['58110258'],EMEA,['High'],2013-08-17,Delivered
AJ-2013-2640-JL-5835,['JL-5835'],2013-01-23,2013-01-27,2013-02-02,Standard Class,['58110258'],EMEA,['High'],2013-03-04,Delivered
AJ-2013-3610-GZ-4545,['GZ-4545'],2013-10-01,2013-10-02,2013-10-04,Second Class,['58110258'],EMEA,['High'],2013-11-10,Delivered
AJ-2013-8630-DC-3285,['DC-3285'],2013-07-01,2013-08-04,2013-08-07,Standard Class,['58110258'],EMEA,['Medium'],2013-08-10,Delivered
AJ-2014-1760-MS-7365,['MS-7365'],2014-11-09,2014-11-30,2014-12-05,Standard Class,['58110258'],EMEA,['Medium'],2014-12-19,Delivered
AJ-2014-5740-LW-6825,['LW-6825'],2014-10-23,2014-10-28,2014-11-04,Standard Class,['58110258'],EMEA,['High'],2014-12-02,Delivered
AJ-2014-6170-SH-9975,['SH-9975'],2014-09-16,2014-09-18,2014-09-23,Second Class,['58110258'],EMEA,['High'],2014-10-26,Delivered
AJ-2014-6800-DR-2880,['DR-2880'],2014-12-27,2015-01-01,2015-01-08,Standard Class,['58110258'],EMEA,['Medium'],2015-02-05,Estimation Phase
AJ-2014-8550-GM-4440,['GM-4440'],2014-02-24,2014-03-27,2014-04-02,Standard Class,['58110258'],EMEA,['Medium'],2014-04-05,Delivered
AJ-2014-9020-RD-9720,['RD-9720'],2014-09-13,2014-09-19,2014-09-22,Standard Class,['58110258'],EMEA,['Medium'],2014-10-23,Delivered
AJ-2014-9550-GG-4650,['GG-4650'],2014-08-30,2014-09-15,2014-09-18,Second Class,['58110258'],EMEA,['Medium'],2014-10-09,Delivered
AJ-2014-9620-DJ-3420,['DJ-3420'],2014-12-30,2014-12-30,2015-01-03,Same Day,['58110258'],EMEA,['High'],2015-02-08,Shipped
AL-2011-4500-EM-3825,['EM-3825'],2011-01-11,2011-02-01,2011-02-07,Standard Class,['515311693'],EMEA,['Medium'],2011-02-20,Delivered
AL-2011-7440-SC-10230,['SC-10230'],2011-03-03,2011-03-29,2011-04-01,Second Class,['513091004'],EMEA,['High'],2011-04-12,Delivered
AL-2011-9500-MC-8130,['MC-8130'],2011-08-11,2011-09-06,2011-09-17,Second Class,['5110413440'],EMEA,['High'],2011-09-20,Delivered
AL-2012-8670-ML-7395,['ML-7395'],2012-04-24,2012-04-30,2012-05-11,Standard Class,['5110413440'],EMEA,['Medium'],2012-06-03,Delivered
AL-2012-9220-JD-5895,['JD-5895'],2012-04-19,2012-04-24,2012-04-27,Standard Class,['51300970'],EMEA,['Medium'],2012-05-29,Delivered
AL-2012-9980-JD-6015,['JD-6015'],2012-07-28,2012-08-02,2012-08-07,Standard Class,['5110413440'],EMEA,['Medium'],2012-09-06,Delivered
AL-2013-3830-TT-11460,['TT-11460'],2013-12-08,2014-01-01,2014-01-03,First Class,['51300970'],EMEA,['Critical'],2014-01-17,Delivered
AL-2013-7280-GA-4515,['GA-4515'],2013-04-20,2013-04-20,2013-04-25,Same Day,['519012977'],EMEA,['Critical'],2013-05-30,Delivered
AL-2013-7420-NC-8535,['NC-8535'],2013-12-20,2013-12-25,2014-01-04,Standard Class,['5110413440'],EMEA,['Medium'],2014-01-29,Delivered
AL-2014-8450-JB-5925,['JB-5925'],2014-10-03,2014-11-11,2014-11-16,Second Class,['519012977'],EMEA,['High'],2014-11-12,Delivered
AM-2011-7110-HM-4980,['HM-4980'],2011-12-14,2011-12-19,2011-12-23,Standard Class,['555753356'],EMEA,['High'],2012-01-23,Delivered
AM-2013-2480-MG-7695,['MG-7695'],2013-04-17,2013-04-23,2013-05-06,Standard Class,['555753356'],EMEA,['Low'],2013-05-27,Delivered
AO-2011-1390-DK-3150,['DK-3150'],2011-01-02,2011-01-11,2011-01-14,Second Class,['035821925'],Africa,['Critical'],2011-02-11,Delivered
AO-2011-1670-HZ-4950,['HZ-4950'],2011-08-01,2011-09-02,2011-09-05,Standard Class,['03142358'],Africa,['High'],2011-09-10,Delivered
AO-2011-1710-SW-10455,['SW-10455'],2011-03-02,2011-03-24,2011-03-28,Standard Class,['035821925'],Africa,['Low'],2011-04-11,Delivered
AO-2011-4780-BS-1800,['BS-1800'],2011-10-10,2011-10-14,2011-10-23,Standard Class,['035821925'],Africa,['High'],2011-11-19,Delivered
AO-2011-4910-GK-4620,['GK-4620'],2011-06-01,,,Standard Class,['035821925'],Africa,['Medium'],2011-07-11,Canceled
AO-2011-7110-AA-480,['AA-480'],2011-06-21,2011-06-25,2011-07-03,Standard Class,['031471716'],Africa,['Medium'],2011-07-31,Delivered
AO-2011-8000-JK-5370,['JK-5370'],2011-12-15,2011-12-19,2011-12-29,Standard Class,['035821925'],Africa,['High'],2012-01-24,Delivered
AO-2011-8260-RO-9780,['RO-9780'],2011-07-16,2011-07-20,2011-07-27,Standard Class,['034211409'],Africa,['High'],2011-08-25,Delivered
AO-2011-8430-MA-7995,['MA-7995'],2011-01-20,2011-01-20,2011-01-24,Same Day,['035821925'],Africa,['High'],2011-03-01,Delivered
AO-2011-9910-RP-9855,['RP-9855'],2011-05-12,2011-05-20,2011-05-22,Standard Class,['035821925'],Africa,['Medium'],2011-06-21,Delivered
AO-2012-1000-DK-3225,['DK-3225'],2012-03-12,2012-04-20,2012-04-23,Standard Class,['035821925'],Africa,['Medium'],2012-04-21,Delivered
AO-2012-1220-DL-3495,['DL-3495'],2012-01-23,2012-01-26,2012-01-28,First Class,['035821925'],Africa,['Medium'],2012-03-03,Delivered
AO-2012-1230-DH-3075,['DH-3075'],2012-11-15,2012-11-20,2012-11-26,Standard Class,['035951978'],Africa,['Medium'],2012-12-25,Delivered
AO-2012-2480-MG-8205,['MG-8205'],2012-06-13,2012-06-18,2012-06-24,Standard Class,['035821925'],Africa,['Medium'],2012-07-23,Delivered
AO-2012-2650-SF-10200,['SF-10200'],2012-12-20,2012-12-25,2012-12-26,Standard Class,['034211409'],Africa,['Medium'],2013-01-29,Delivered
AO-2012-2750-CA-2310,['CA-2310'],2012-09-08,2012-10-03,2012-10-07,Standard Class,['03142358'],Africa,['Medium'],2012-10-18,Delivered
AO-2012-2810-HJ-4875,['HJ-4875'],2012-09-29,2012-10-23,2012-10-29,Second Class,['035821925'],Africa,['Medium'],2012-11-08,Delivered
AO-2012-3210-JE-5745,['JE-5745'],2012-09-27,2012-10-25,2012-10-30,Standard Class,['031471716'],Africa,['Medium'],2012-11-06,Delivered
AO-2012-5450-LH-6900,['LH-6900'],2012-12-11,2012-12-11,2012-12-13,Same Day,['035821925'],Africa,['High'],2013-01-20,Delivered
AO-2012-6670-MO-7500,['MO-7500'],2012-09-20,2012-09-25,2012-09-28,Standard Class,['034211409'],Africa,['High'],2012-10-30,Delivered
AO-2012-7800-JC-5340,['JC-5340'],2012-07-21,2012-07-24,2012-07-26,First Class,['035821925'],Africa,['Medium'],2012-08-30,Delivered
AO-2012-7980-RD-9585,['RD-9585'],2012-12-20,2012-12-24,2013-01-03,Standard Class,['034211409'],Africa,['Medium'],2013-01-29,Delivered
AO-2012-8920-CC-2475,['CC-2475'],2012-04-12,2012-05-03,2012-05-06,Standard Class,['035821925'],Africa,['Medium'],2012-05-22,Delivered
AO-2013-1140-LW-7125,['LW-7125'],2013-11-21,2013-11-27,2013-12-01,Standard Class,['034241927'],Africa,['Medium'],2013-12-31,Delivered
AO-2013-1470-RE-9405,['RE-9405'],2013-10-12,2013-10-28,2013-11-05,Standard Class,['03142358'],Africa,['Medium'],2013-11-21,Delivered
AO-2013-1640-IG-5085,['IG-5085'],2013-10-25,2013-10-29,2013-11-04,Second Class,['035821925'],Africa,['High'],2013-12-04,Delivered
AO-2013-2100-AS-285,['AS-285'],2013-05-06,,,Standard Class,['035821925'],Africa,['High'],2013-06-15,Canceled
AO-2013-2180-LC-6960,['LC-6960'],2013-11-14,2013-11-18,2013-11-22,Standard Class,['03142358'],Africa,['High'],2013-12-24,Delivered
AO-2013-2230-JK-6090,['JK-6090'],2013-05-28,2013-06-28,2013-06-30,Standard Class,['035821925'],Africa,['High'],2013-07-07,Delivered
AO-2013-2380-CM-2655,['CM-2655'],2013-03-28,2013-04-12,2013-04-17,Standard Class,['035821925'],Africa,['High'],2013-05-07,Delivered
AO-2013-3830-SC-10305,['SC-10305'],2013-10-30,2013-11-11,2013-11-17,Standard Class,['035821925'],Africa,['Medium'],2013-12-09,Delivered
AO-2013-4310-CW-1905,['CW-1905'],2013-10-30,2013-11-21,2013-11-26,Second Class,['035821925'],Africa,['Medium'],2013-12-09,Delivered
AO-2013-6050-JP-5460,['JP-5460'],2013-10-12,2013-11-09,2013-11-12,Standard Class,['035821925'],Africa,['Medium'],2013-11-21,Delivered
AO-2013-6140-BP-1290,['BP-1290'],2013-12-27,2013-12-31,2014-01-03,Second Class,['035821925'],Africa,['High'],2014-02-05,Delivered
AO-2013-6910-JH-5985,['JH-5985'],2013-12-31,2014-01-10,2014-01-12,First Class,['035821925'],Africa,['Medium'],2014-02-09,Delivered
AO-2013-7170-HG-4845,['HG-4845'],2013-12-08,2014-01-10,2014-01-13,Standard Class,['035821925'],Africa,['Medium'],2014-01-17,Delivered
AO-2013-7370-MM-7920,['MM-7920'],2013-11-13,2013-11-17,2013-11-20,Standard Class,['035821925'],Africa,['Medium'],2013-12-23,Delivered
AO-2013-9250-GM-4500,['GM-4500'],2013-06-12,2013-07-17,2013-07-22,Standard Class,['03142358'],Africa,['Medium'],2013-07-22,Delivered
AO-2014-1550-SC-10020,['SC-10020'],2014-11-04,2014-11-16,2014-11-18,Second Class,['035821925'],Africa,['High'],2014-12-14,Delivered
AO-2014-190-RW-9540,['RW-9540'],2014-05-12,2014-06-01,2014-06-09,Standard Class,['034211409'],Africa,['Medium'],2014-06-21,Delivered
AO-2014-2110-EP-3915,['EP-3915'],2014-10-17,2014-10-22,2014-10-26,Second Class,['034211409'],Africa,['High'],2014-11-26,Delivered
AO-2014-2160-LC-7050,['LC-7050'],2014-05-20,2014-05-24,2014-05-28,Standard Class,['034211409'],Africa,['Medium'],2014-06-29,Delivered
AO-2014-2270-BD-1725,['BD-1725'],2014-05-28,2014-05-30,2014-06-06,Standard Class,['035821925'],Africa,['Low'],2014-07-07,Delivered
AO-2014-2460-LM-7065,['LM-7065'],2014-06-11,2014-07-03,2014-07-09,Standard Class,['035821925'],Africa,['Medium'],2014-07-21,Delivered
AO-2014-2730-JF-5415,['JF-5415'],2014-09-25,2014-09-30,2014-10-03,Standard Class,['035821925'],Africa,['Medium'],2014-11-04,Delivered
AO-2014-4190-DR-2940,['DR-2940'],2014-11-22,2014-11-26,2014-12-05,Standard Class,['034211409'],Africa,['Medium'],2015-01-01,Delivered
AO-2014-420-DV-3465,['DV-3465'],2014-11-18,2014-11-19,2014-12-02,First Class,['036842243'],Africa,['High'],2014-12-28,Delivered
AO-2014-4830-JM-5655,['JM-5655'],2014-08-31,2014-10-09,2014-10-16,Second Class,['035821925'],Africa,['High'],2014-10-10,Delivered
